         1457927 function calls (1423228 primitive calls) in 1.148 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.016    0.016 _decomp.py:1(<module>)
     2406    0.005    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
 1485/154    0.008    0.000    0.015    0.000 _compiler.py:37(_compile)
      439    0.007    0.000    0.014    0.000 doccer.py:225(indentcount_lines)
        1    0.000    0.000    0.014    0.014 _morestats.py:1(<module>)
        1    0.000    0.000    0.013    0.013 _discrete_distns.py:1(<module>)
        1    0.000    0.000    0.013    0.013 memory.py:1(<module>)
        1    0.000    0.000    0.013    0.013 _base.py:1435(ExcelFile)
        1    0.000    0.000    0.013    0.013 _decomp_svd.py:1(<module>)
        2    0.000    0.000    0.013    0.007 _spectral.py:1(<module>)
      131    0.001    0.000    0.013    0.000 _distn_infrastructure.py:735(_attach_argparser_methods)
     1109    0.001    0.000    0.013    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
       21    0.000    0.000    0.012    0.001 _distn_infrastructure.py:3319(__init__)
        1    0.000    0.000    0.012    0.012 reusable_executor.py:1(<module>)
        1    0.000    0.000    0.012    0.012 algorithms.py:1(<module>)
     2623    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap>:632(cached)
      110    0.001    0.000    0.012    0.000 _distn_infrastructure.py:1923(_attach_methods)
        1    0.000    0.000    0.012    0.012 process_executor.py:1(<module>)
183004/181471    0.011    0.000    0.012    0.000 {built-in method builtins.len}
     4908    0.006    0.000    0.012    0.000 inspect.py:2712(__init__)
        1    0.000    0.000    0.011    0.011 _linprog.py:1(<module>)
        6    0.000    0.000    0.011    0.002 _docscrape.py:626(__init__)
     2622    0.002    0.000    0.011    0.000 <frozen importlib._bootstrap>:162(__enter__)
     1420    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
       40    0.001    0.000    0.011    0.000 dataclasses.py:1240(dataclass)
      270    0.001    0.000    0.011    0.000 _decorators.py:363(decorator)
     9149    0.006    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
        1    0.000    0.000    0.010    0.010 _coordinate_descent.py:1(<module>)
        2    0.000    0.000    0.010    0.005 _classes.py:1(<module>)
      138    0.001    0.000    0.010    0.000 dataclasses.py:449(_create_fn)
        1    0.000    0.000    0.010    0.010 _machar.py:1(<module>)
     1837    0.001    0.000    0.009    0.000 __init__.py:179(sub)
    69643    0.009    0.000    0.009    0.000 {method 'startswith' of 'str' objects}
      138    0.004    0.000    0.009    0.000 __init__.py:355(namedtuple)
      210    0.001    0.000    0.009    0.000 _docscrape.py:599(__str__)
        2    0.000    0.000    0.009    0.005 _delegation.py:1(<module>)
        1    0.000    0.000    0.009    0.009 base_events.py:1(<module>)
      131    0.000    0.000    0.009    0.000 _distn_infrastructure.py:683(__init__)
      143    0.000    0.000    0.009    0.000 _decorators.py:484(__call__)
    75882    0.008    0.000    0.009    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.009    0.009 _t_sne.py:1(<module>)
        4    0.000    0.000    0.009    0.002 _aliases.py:1(<module>)
      341    0.008    0.000    0.009    0.000 {built-in method builtins.eval}
    29579    0.007    0.000    0.009    0.000 {method 'join' of 'str' objects}
      426    0.001    0.000    0.009    0.000 typing.py:1242(__init__)
        1    0.000    0.000    0.008    0.008 _logistic.py:1(<module>)
     2622    0.004    0.000    0.008    0.000 <frozen importlib._bootstrap>:124(setdefault)
      213    0.001    0.000    0.008    0.000 _docscrape.py:548(__str__)
        1    0.000    0.000    0.008    0.008 _json.py:1(<module>)
        1    0.000    0.000    0.008    0.008 take.py:1(<module>)
  215/191    0.000    0.000    0.008    0.000 typing.py:508(__getitem__)
        1    0.000    0.000    0.008    0.008 _dispatcher.py:1(<module>)
      190    0.001    0.000    0.008    0.000 typing.py:687(Union)
        1    0.000    0.000    0.008    0.008 _rotation_groups.py:1(<module>)
        2    0.000    0.000    0.008    0.004 construction.py:1(<module>)
     1283    0.000    0.000    0.007    0.000 _docscrape.py:85(read_to_next_unindented_line)
       54    0.000    0.000    0.007    0.000 _set_output.py:357(__init_subclass__)
     6950    0.005    0.000    0.007    0.000 _docscrape.py:57(seek_next_non_empty_line)
      128    0.000    0.000    0.007    0.000 _internal.py:31(inner)
        1    0.000    0.000    0.007    0.007 _svds.py:1(<module>)
        1    0.000    0.000    0.007    0.007 series.py:1(<module>)
        1    0.000    0.000    0.007    0.007 _mgc.py:1(<module>)
        1    0.000    0.000    0.007    0.007 _linprog_ip.py:1(<module>)
     1613    0.004    0.000    0.007    0.000 functools.py:35(update_wrapper)
        2    0.000    0.000    0.006    0.003 _adapters.py:1(<module>)
        2    0.000    0.000    0.006    0.003 format.py:1(<module>)
        3    0.000    0.000    0.006    0.002 datetimes.py:1(<module>)
        1    0.000    0.000    0.006    0.006 describe.py:1(<module>)
        1    0.000    0.000    0.006    0.006 einsumfunc.py:1(<module>)
37939/37299    0.006    0.000    0.006    0.000 {built-in method builtins.getattr}
        2    0.000    0.000    0.006    0.003 _matfuncs.py:1(<module>)
        1    0.000    0.000    0.006    0.006 _resampling.py:1(<module>)
     1420    0.002    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
    29348    0.004    0.000    0.006    0.000 _docscrape.py:64(eof)
        1    0.000    0.000    0.006    0.006 _linprog_util.py:1(<module>)
      167    0.006    0.000    0.006    0.000 {built-in method builtins.compile}
     1961    0.004    0.000    0.006    0.000 inspect.py:2998(__init__)
     5232    0.004    0.000    0.006    0.000 enum.py:726(__call__)
        3    0.000    0.000    0.006    0.002 _internal.py:1(<module>)
     2407    0.002    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
    44055    0.006    0.000    0.006    0.000 {built-in method builtins.min}
        1    0.000    0.000    0.006    0.006 string_.py:1(<module>)
     2622    0.004    0.000    0.006    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
        1    0.000    0.000    0.006    0.006 ewm.py:1(<module>)
        1    0.000    0.000    0.006    0.006 _parallel_backends.py:1(<module>)
        3    0.000    0.000    0.006    0.002 numeric.py:1(<module>)
        1    0.000    0.000    0.006    0.006 message.py:1(<module>)
        1    0.000    0.000    0.006    0.006 fromnumeric.py:1(<module>)
        1    0.000    0.000    0.006    0.006 _remove_redundancy.py:1(<module>)
        1    0.000    0.000    0.006    0.006 glm.py:1(<module>)
      123    0.000    0.000    0.006    0.000 typing.py:514(__getitem__)
     2622    0.004    0.000    0.006    0.000 <frozen importlib._bootstrap>:372(release)
     9539    0.006    0.000    0.006    0.000 {method 'splitlines' of 'str' objects}
        1    0.000    0.000    0.005    0.005 _pickle.py:1(<module>)
    52291    0.005    0.000    0.005    0.000 {method 'strip' of 'str' objects}
        1    0.000    0.000    0.005    0.005 interpolative.py:1(<module>)
        1    0.000    0.000    0.005    0.005 _minimize.py:1(<module>)
        2    0.000    0.000    0.005    0.003 _kde.py:1(<module>)
    57957    0.005    0.000    0.005    0.000 {method 'lstrip' of 'str' objects}
       76    0.000    0.000    0.005    0.000 _param_validation.py:187(wrapper)
