trade_id,symbol,direction,entry_time,entry_price,lots,exit_time,exit_price,holding_hours,holding_bars,spread_cost,commission,slippage,gap_slippage,swap_cost,total_cost,gross_pnl,net_pnl,mfe,mae,time_to_mfe,time_to_mae,mfe_efficiency,mae_efficiency,stop_efficiency,r_multiple,initial_stop,final_stop,stop_adjustments,energy_at_entry,regime_at_entry,energy_at_exit,regime_at_exit,pe_at_entry,forward_release_5,forward_release_10,pe_recovery_efficiency,pe_exploitation,avg_energy,max_energy,avg_damping,max_jerk,avg_buying_pressure,energy_trend,regime_changes,flow_consistency,time_to_max_energy
42,XAUUSD,long,2024-08-20T15:00:00,2526.38,0.1,2024-08-20T19:00:00,2508.52,4.0,4,0.7000000000000001,0.0,0.1,0.0,0.0,0.8,-178.60000000000127,-179.40000000000128,5.289999999999964,20.480000000000018,2,4,0.0,0.0,0.19092627599239517,-0.8720703125000054,2517.9685714285715,2518.9785714285713,1,5.916800000000188,critical,117.04499999999582,overdamped,0.0,0.010073901667636382,0.010073901667636382,-0.7017542840792778,0.0,35.03369999999885,117.04499999999582,1.4683488629291428,0.0,0.502438197076044,1105.2854442341902,1,1.0,4
43,XAUUSD,short,2024-08-27T09:00:00,2513.63,0.1,2024-08-27T10:00:00,2514.95,1.0,1,0.7000000000000001,0.0,0.1,0.0,0.0,0.8,-13.19999999999709,-13.99999999999709,0.8600000000001273,3.869999999999891,1,1,0.0,0.0,0.0,-0.3410852713177639,2514.342857142857,2514.342857142857,0,19.468799999998637,critical,0.966049999999823,critical,0.0,0.003982336091661268,0.003982336091661268,-0.13186655803108294,0.0,0.966049999999823,0.966049999999823,1.377318303480898,0.0,0.4693446088794485,0.0,0,1.0,1
44,XAUUSD,long,2024-08-28T03:00:00,2525.34,0.1,2024-08-28T05:00:00,2517.16,2.0,2,0.7000000000000001,0.0,0.1,0.0,0.0,0.8,-81.80000000000291,-82.60000000000291,0.5599999999999454,8.450000000000273,1,2,0.0,0.0,0.0,-0.9680473372781097,2518.2385714285715,2518.2385714285715,0,0.04499999999991815,critical,26.572049999999734,critical,0.35456610658361903,0.0059477139711880305,0.00871961795243412,-0.544607190412803,-0.9135582152615537,13.488524999999909,26.572049999999734,1.3558721164174325,0.0,0.1486696066135401,64.60999999998609,0,1.0,2
45,XAUUSD,short,2024-08-28T12:00:00,2508.23,0.1,2024-08-28T17:00:00,2506.62,5.0,5,0.7000000000000001,0.0,0.1,0.0,0.0,0.8,16.100000000001273,15.300000000001273,14.590000000000146,3.1599999999998545,4,1,0.11034955448938391,0.7834132967786276,0.5225692744541476,0.5094936708861397,2511.67,2504.045714285714,2,1.5664500000007726,critical,18.06005000000131,critical,0.15131538123108804,0.005820814595094532,0.005820814595094532,0.11027441225131646,0.4242046664890253,7.866990000000439,18.06005000000131,1.2958859737480855,0.0,0.5343655087899972,8.696931461245063,2,1.0,5
46,XAUUSD,long,2024-08-29T11:00:00,2519.2,0.1,2024-08-29T16:00:00,2509.21,5.0,5,0.7000000000000001,0.0,0.1,0.0,0.0,0.8,-99.89999999999782,-100.69999999999781,5.220000000000255,15.519999999999982,3,5,0.0,0.0,0.5180623973726876,-0.643685567010296,2512.6614285714286,2515.365714285714,2,2.4642000000005653,overdamped,57.78125,critical,0.0,0.006148850613495809,0.006148850613495809,-0.6449245341291873,0.0,16.30574999999975,57.78125,1.2040824878314056,0.0,0.4847518965117765,28.477221712069657,3,1.0,5
47,XAUUSD,long,2024-09-10T04:00:00,2505.45,0.1,2024-09-10T12:00:00,2502.35,8.0,8,0.7000000000000001,0.0,0.1,0.0,0.0,0.8,-30.99999999999909,-31.79999999999909,2.2800000000002,5.289999999999964,7,8,0.0,0.0,1.0,-0.5860113421549963,2498.065714285714,2501.442857142857,7,0.897800000000195,critical,0.13519999999999055,critical,0.4460351786669635,0.0018479714222992495,0.0021113971542038213,-0.6695464362851276,-0.27740024539209385,1.0193562499999174,2.5764499999999586,1.244939783558092,0.0,0.46919601353736634,-0.8916840249959918,2,1.0,7
48,XAUUSD,short,2024-09-12T01:00:00,2512.06,0.1,2024-09-12T02:00:00,2512.91,1.0,1,0.7000000000000001,0.0,0.1,0.0,23.955,24.755,-8.49999999999909,-33.254999999999086,0.04999999999972715,1.8800000000001091,1,1,0.0,0.0,0.0,-0.45212765957439344,2513.5042857142853,2513.5042857142853,0,1.3612500000001502,overdamped,1.1704499999996103,overdamped,0.4980287200154949,0.0015330216852885302,0.004340243212894938,-0.22071945713098942,-0.06794140589650963,1.1704499999996103,1.1704499999996103,1.6736753445548724,0.0,0.4663212435231671,0.0,0,1.0,1
49,XAUUSD,long,2024-09-12T18:00:00,2553.37,0.1,2024-09-16T11:00:00,2582.16,89.0,39,0.7000000000000001,0.0,0.1,0.0,-13.618000000000002,14.418000000000003,287.89999999999964,273.48199999999963,36.32999999999993,8.440000000000055,38,2,0.7924580236718971,0.7676851087255692,1.0,3.4111374407582673,2539.7685714285717,2581.9785714285713,31,31.20500000000072,critical,4.836050000000396,critical,0.0,0.0033015320988815876,0.005749287213710498,3.4151704919393775,0.0,3.0951820512820185,36.125,1.324653118051747,0.0,0.6127830615933372,6044.0625000114915,6,1.0,21
50,XAUUSD,short,2024-09-16T20:00:00,2583.67,0.1,2024-09-17T06:00:00,2581.59,10.0,9,0.7000000000000001,0.0,0.1,0.0,4.7909999999999995,5.590999999999999,20.799999999999272,15.208999999999273,5.260000000000218,2.6900000000000546,8,9,0.3954372623573842,0.488593155893547,0.3519826181423127,0.7732342007434517,2586.9814285714288,2585.13,5,7.106449999999931,underdamped,0.5617999999999421,critical,0.0,0.0015752480918983904,0.002658956852909716,0.5110664011839658,0.0,1.3759555555554122,5.8140499999995034,1.3098028311888603,0.0,0.5384331235208555,-0.0542883595652539,0,1.0,7
51,XAUUSD,short,2024-09-27T11:00:00,2664.71,0.1,2024-09-27T15:00:00,2666.16,4.0,4,0.7000000000000001,0.0,0.1,0.0,0.0,0.8,-14.499999999998181,-15.299999999998182,6.349999999999909,4.480000000000018,2,4,0.0,0.294488188976365,0.4598425196850574,-0.3236607142856724,2670.611428571429,2667.691428571429,2,0.6612499999995817,critical,1.602049999999935,critical,0.0,0.0035837855282611422,0.008105734807376355,-0.15183644926164674,0.0,1.1925375000001983,2.332800000000668,1.372885114725069,0.0,0.5123720427291435,-0.31325017146798867,2,1.0,1
52,XAUUSD,long,2024-10-01T16:00:00,2651.56,0.1,2024-10-01T17:00:00,2667.96,1.0,1,0.7000000000000001,0.0,0.1,0.0,0.0,0.8,164.0000000000009,163.2000000000009,19.409999999999854,3.519999999999982,1,1,0.8449252962390631,0.8186501803194226,0.0,4.659090909090959,2659.792857142857,2659.792857142857,0,0.8580500000005242,overdamped,135.7952000000003,overdamped,0.0,0.008157492787237522,0.008157492787237522,0.7582033356272742,0.0,135.7952000000003,135.7952000000003,1.625168121789884,0.0,0.8717836894897679,0.0,0,1.0,1
53,XAUUSD,short,2024-10-02T21:00:00,2652.22,0.1,2024-10-02T22:00:00,2654.12,1.0,1,0.7000000000000001,0.0,0.1,0.0,0.0,0.8,-19.00000000000091,-19.80000000000091,1.0399999999999636,3.75,1,1,0.0,0.0,0.0,-0.5066666666666909,2655.9157142857143,2655.9157142857143,0,3.0012499999995543,critical,1.7672000000002053,critical,0.2576407061092129,0.0034122486530102,0.00404191221660419,-0.20994395980001246,-0.27805427366417357,1.7672000000002053,1.7672000000002053,1.4199104500145328,0.0,0.607515657620111,0.0,0,1.0,1
54,XAUUSD,long,2024-10-03T04:00:00,2657.84,0.1,2024-10-03T09:00:00,2653.27,5.0,5,0.7000000000000001,0.0,0.1,0.0,0.0,0.8,-45.70000000000164,-46.500000000001634,1.1099999999996726,5.940000000000055,1,5,0.0,0.0,1.0,-0.7693602693602899,2651.135714285714,2654.4871428571428,4,3.075200000000045,overdamped,1.53125,overdamped,0.1374272431448066,0.0022311434516127204,0.006320946034923124,-0.770654773286135,-1.2511648429559754,1.0267899999997316,2.9281999999990758,1.5920509242793595,0.0,0.403770431661472,17.21832242713964,0,1.0,2
55,XAUUSD,short,2024-10-03T14:00:00,2646.81,0.1,2024-10-03T16:00:00,2642.45,2.0,2,0.7000000000000001,0.0,0.1,0.0,0.0,0.8,43.60000000000127,42.800000000001276,4.690000000000055,7.130000000000109,2,2,0.9296375266524683,0.0,0.0,0.6115007012622806,2650.814285714286,2650.814285714286,0,1.805000000000173,overdamped,15.345800000002317,overdamped,0.0,0.0032983349642397085,0.005803256019555812,0.4994234885087097,0.0,8.045000000001314,15.345800000002317,1.5896661450006482,0.0,0.41894075289747273,19.620532115017348,0,1.0,2
56,XAUUSD,long,2024-10-04T05:00:00,2658.32,0.1,2024-10-04T11:00:00,2661.08,6.0,6,0.7000000000000001,0.0,0.1,0.0,0.0,0.8,27.599999999997635,26.799999999997635,9.579999999999927,0.3400000000001455,4,1,0.2881002087682447,0.9645093945720096,0.9509394572024783,8.11764705881936,2650.938571428572,2660.0485714285714,4,0.5100500000002205,overdamped,0.31204999999997124,critical,0.6132221533007713,0.0036113305495993338,0.0036113305495993338,0.2874978369797247,0.16931053714221755,7.3104916666663655,25.776199999998823,1.4573856885671173,0.0,0.49341482501485534,-0.9567797783933496,1,1.0,5
57,XAUUSD,short,2024-10-04T22:00:00,2645.66,0.1,2024-10-07T01:00:00,2651.57,51.0,2,0.7000000000000001,0.0,0.1,0.0,0.0,0.8,-59.10000000000309,-59.90000000000309,2.8799999999996544,8.300000000000182,1,2,0.0,0.0,0.18750000000000988,-0.712048192771106,2652.76,2652.2200000000003,1,9.856800000000243,overdamped,1.7672000000002053,critical,0.2972246940240145,0.0031485884269530987,0.0031485884269530987,-0.7094757484497526,-0.7515684852861831,9.973824999999335,18.180449999998466,1.453905697817412,0.0,0.9242871927759171,-0.9027966854505607,0,1.0,1
58,XAUUSD,long,2024-10-10T13:00:00,2617.22,0.1,2024-10-10T16:00:00,2625.11,3.0,3,0.7000000000000001,0.0,0.1,0.0,0.0,0.8,78.90000000000327,78.10000000000328,10.140000000000327,12.989999999999782,3,3,0.7781065088757468,0.0,0.4992955762186186,0.6073903002309823,2610.1557142857146,2615.2185714285715,1,1.4449999999996908,critical,72.96319999999912,critical,0.0478940371367875,0.00496328164999495,0.0054256042671232355,0.6073903002309823,6.294414319075641,28.527999999999818,72.96319999999912,1.3638424826548332,0.0,0.6585097852370623,227.00999999989355,0,1.0,3
59,XAUUSD,long,2024-10-16T01:00:00,2662.5,0.1,2024-10-16T10:00:00,2677.26,9.0,9,0.7000000000000001,0.0,0.1,0.0,-6.809000000000001,7.609000000000001,147.60000000000218,139.99100000000217,15.25,3.800000000000182,9,3,0.9678688524590308,0.7508196721311357,0.8359718969554929,3.8842105263156608,2655.8014285714285,2668.5499999999997,7,0.732050000000044,critical,29.95379999999831,critical,0.5825105819972327,0.0027037988373664317,0.00556907454974236,2.0503233802817724,0.9516843372739628,7.394644444444397,30.57620000000128,1.4297210690172226,0.0,0.6065991985464227,105.502399999994,2,1.0,4
60,XAUUSD,short,2024-10-22T02:00:00,2720.78,0.1,2024-10-22T05:00:00,2728.16,3.0,3,0.7000000000000001,0.0,0.1,0.0,0.0,0.8,-73.79999999999654,-74.59999999999654,0.29000000000041837,9.539999999999964,1,3,0.0,0.0,1.0,-0.7735849056603441,2727.2742857142857,2726.9128571428573,2,0.5617999999999421,critical,5.746049999999569,critical,0.6205536374570778,0.004513312065391476,0.006442863233413117,-0.6009904517465171,-0.43710282130773004,3.7466166666667355,5.746049999999569,1.4665431259088753,0.0,0.6881432257190947,22.453265306132874,1,1.0,3
61,XAUUSD,long,2024-10-22T19:00:00,2737.64,0.1,2024-10-23T06:00:00,2738.96,11.0,10,0.7000000000000001,0.0,0.1,0.0,-6.809000000000001,7.609000000000001,13.200000000001637,5.591000000001636,11.25,0.4600000000000364,4,1,0.11733333333334789,0.9591111111111079,0.6130793650793446,2.8695652173914334,2731.7785714285715,2738.675714285714,8,9.07380000000093,underdamped,0.048049999999983085,critical,0.0,0.004109378881080055,0.004109378881080055,0.11733333333334789,0.0,6.346610000000258,29.799200000001967,1.1997053429140514,0.0,0.48408516858379447,-0.9983875406051176,5,1.0,1
62,XAUUSD,short,2024-10-23T20:00:00,2719.46,0.1,2024-10-24T05:00:00,2723.79,9.0,8,0.7000000000000001,0.0,0.1,0.0,23.955,24.755,-43.29999999999927,-68.05499999999927,7.449999999999818,7.320000000000164,2,8,0.0,0.017449664429484257,0.187152444870557,-0.5915300546447856,2724.345714285714,2722.9514285714286,4,2.7144499999998306,overdamped,3.125,overdamped,0.448301902683175,0.0027395144624299743,0.0027395144624299743,-0.5812080536912796,-0.35516866184110324,2.694599999999802,5.248799999999293,1.4700893940352158,0.0,0.6519835692676018,-0.17355371900826447,3,1.0,6
63,XAUUSD,long,2024-10-24T21:00:00,2735.46,0.1,2024-10-25T04:00:00,2732.46,7.0,6,0.7000000000000001,0.0,0.1,0.0,-6.809000000000001,7.609000000000001,-30.0,-37.609,2.3400000000001455,4.139999999999873,1,6,0.0,0.0,0.8308913308911204,-0.7246376811594426,2730.1571428571433,2732.1014285714286,4,1.5664499999999677,overdamped,0.9800000000001273,critical,0.2900505031781747,0.0008700674850663186,0.004189484612966212,-1.2604857696187062,-0.3781092159872365,0.5531750000000052,0.9800000000001273,1.3175088122495973,0.0,0.364792215290424,99.0000000001949,0,1.0,6
64,XAUUSD,long,2024-10-25T23:00:00,2742.59,0.1,2024-10-28T02:00:00,2734.62,51.0,2,0.7000000000000001,0.0,0.1,113.86102075433446,-6.809000000000001,121.47002075433446,-79.70000000000255,-201.170020754337,5.119999999999891,12.269999999999982,1,2,0.0,0.0,0.0,-0.6495517522412605,2734.707142857143,2734.707142857143,0,0.08404999999994034,critical,77.1282000000009,critical,0.5918812139160883,0.0064830412683132225,0.0064830412683132225,-0.4482482958037323,-0.49097895520614687,43.581700000000495,77.1282000000009,1.3044846037666304,0.0,0.7936670436670116,6.685766103316354,0,1.0,2
65,XAUUSD,short,2024-10-31T12:00:00,2779.15,0.1,2024-10-31T17:00:00,2755.34,5.0,5,0.7000000000000001,0.0,0.1,0.0,0.0,0.8,238.09999999999945,237.29999999999944,24.450000000000273,3.480000000000018,5,3,0.9738241308793325,0.8576687116564425,0.7303534910896898,6.841954022988454,2785.454285714286,2767.597142857143,3,4.351249999999464,overdamped,167.44500000000332,overdamped,0.0,0.008790520774487083,0.017113269260523957,0.9746143533624747,0.0,38.0633400000003,167.44500000000332,1.3001209718207591,0.0,0.39374839144530493,394.6639886577903,2,1.0,5
66,XAUUSD,long,2024-11-07T21:00:00,2695.24,0.1,2024-11-08T07:00:00,2693.6,10.0,9,0.7000000000000001,0.0,0.1,0.0,-6.809000000000001,7.609000000000001,-16.399999999998727,-24.00899999999873,15.190000000000055,7.7599999999997635,5,1,0.0,0.4891375905200964,0.8262954951565776,-0.21134020618555704,2682.4814285714288,2695.032857142857,7,8.569799999999473,underdamped,1.3121999999998233,overdamped,0.26560476128160315,0.0056395929104380025,0.0056395929104380025,-0.10789433652621967,-0.2290923296757279,9.080638888888856,50.20019999999982,1.1244091827102531,0.0,0.40523768569546165,3.0,4,1.0,2
67,XAUUSD,long,2024-11-13T09:00:00,2605.42,0.1,2024-11-13T11:00:00,2607.66,2.0,2,0.7000000000000001,0.0,0.1,0.0,0.0,0.8,22.399999999997817,21.599999999997817,5.289999999999964,4.320000000000164,2,2,0.423440453686162,0.18336483931943415,0.0,0.5185185185184483,2602.6985714285715,2602.6985714285715,0,0.05780000000004948,critical,1.0512499999997362,overdamped,0.6011063250432694,0.002410322937216363,0.007933339986029367,0.35669337417973346,0.1430273123937971,0.6588499999998747,1.0512499999997362,1.4660076529408084,0.0,0.6370959483342523,2.945393131918498,0,1.0,2
68,XAUUSD,short,2024-11-14T03:00:00,2572.63,0.1,2024-11-14T12:00:00,2543.57,9.0,9,0.7000000000000001,0.0,0.1,0.0,0.0,0.8,290.59999999999945,289.79999999999944,35.820000000000164,0.2899999999999636,9,1,0.8112786152987106,0.9919039642657743,0.7518943925978985,100.20689655173652,2580.362857142857,2553.4300000000003,7,1.201250000000282,overdamped,79.63219999999862,critical,0.5043706574360313,0.006689886260271964,0.013888996866909755,1.6884940950023055,2.2395897303242513,18.999272222221975,79.63219999999862,1.4575396336443562,0.0,0.40272810453964103,0.6086906896290808,1,1.0,9
69,XAUUSD,long,2024-11-15T03:00:00,2566.93,0.1,2024-11-15T08:00:00,2559.94,5.0,5,0.7000000000000001,0.0,0.1,0.0,0.0,0.8,-69.89999999999782,-70.69999999999781,4.730000000000018,7.190000000000055,1,5,0.0,0.0,0.5345816973724012,-0.9721835883170693,2561.427142857143,2563.9557142857143,4,0.0,critical,25.418450000000778,critical,0.8882291157889866,0.002801011324812151,0.00488131737133453,-0.9721835883170693,-0.3065759939938224,8.718150000000218,25.418450000000778,1.3142934940627526,0.0,0.23238121500434242,13.23165644859002,0,1.0,5
70,XAUUSD,short,2024-11-20T14:00:00,2628.16,0.1,2024-11-20T15:00:00,2631.83,1.0,1,0.7000000000000001,0.0,0.1,0.0,0.0,0.8,-36.70000000000073,-37.500000000000725,1.099999999999909,4.260000000000218,1,1,0.0,0.0,0.0,-0.8615023474178133,2629.1600000000003,2629.1600000000003,0,4.410450000000757,critical,6.956450000000068,underdamped,0.0,0.008652605865051228,0.010402913120074764,-0.1613865514199226,0.0,6.956450000000068,6.956450000000068,1.2516406672626548,0.0,0.8917910447761356,0.0,0,1.0,1
71,XAUUSD,short,2024-11-25T10:00:00,2667.87,0.1,2024-11-25T14:00:00,2686.89,4.0,4,0.7000000000000001,0.0,0.1,0.0,0.0,0.8,-190.19999999999982,-190.99999999999983,0.6700000000000728,20.90000000000009,1,4,0.0,0.0,0.0,-0.9100478468899473,2682.354285714286,2682.354285714286,0,0.39604999999988666,critical,41.95279999999867,critical,0.4659792904396948,0.007833964923328383,0.016203937972989697,-0.9100478468899473,-1.529957029712463,14.909549999999987,41.95279999999867,1.3778419234860164,0.0,0.8272464630406279,3.8021794372831232,0,1.0,4
72,XAUUSD,short,2024-12-02T06:00:00,2629.39,0.1,2024-12-02T14:00:00,2641.91,8.0,8,0.7000000000000001,0.0,0.1,0.0,0.0,0.8,-125.19999999999982,-125.99999999999982,7.449999999999818,16.890000000000327,2,8,0.0,0.0,0.16510067114094606,-0.7412670219064381,2640.114285714286,2638.884285714286,5,3.511250000000241,overdamped,18.0,underdamped,0.25381563937843304,0.0028371491595040833,0.007397124819350353,-1.6782905650947162,-1.8759918332151053,6.97116874999993,18.0,1.1521939633147154,0.0,0.5308124308219432,63.0,7,1.0,8
73,XAUUSD,long,2024-12-03T12:00:00,2644.05,0.1,2024-12-03T15:00:00,2639.96,3.0,3,0.7000000000000001,0.0,0.1,0.0,0.0,0.8,-40.900000000001455,-41.70000000000145,1.6299999999996544,5.760000000000218,2,3,0.0,0.0,0.5249780893951602,-0.7100694444444428,2639.4428571428575,2640.2985714285714,1,0.6049999999999,critical,7.0687999999991105,critical,0.3166351048257362,0.004390991093209157,0.004390991093209157,-0.3522825150732352,-0.488533760914234,2.6989499999996522,7.0687999999991105,1.2911345553108502,0.0,0.22384929891360125,8.9834757432363,0,1.0,3
74,XAUUSD,long,2024-12-09T05:00:00,2646.15,0.1,2024-12-09T21:00:00,2663.03,16.0,16,0.7000000000000001,0.0,0.1,0.0,0.0,0.8,168.8000000000011,168.00000000000108,30.25,11.400000000000091,13,2,0.5580165289256235,0.6231404958677655,1.0,1.4807017543859626,2632.2714285714287,2662.5785714285716,14,0.15679999999996944,critical,1.080449999999706,critical,0.32870180108666575,0.004308145796723576,0.005411635772726304,1.4807017543859626,1.9406888000827223,12.286437500000082,42.50419999999816,1.3272975757735779,0.0,0.5637569221122687,-0.9598909339292866,2,1.0,11
75,XAUUSD,short,2024-12-17T16:00:00,2637.05,0.1,2024-12-17T21:00:00,2647.29,5.0,5,0.7000000000000001,0.0,0.1,0.0,0.0,0.8,-102.39999999999782,-103.19999999999781,3.900000000000091,12.029999999999745,1,5,0.0,0.0,0.0,-0.8512053200332501,2647.1085714285714,2648.047142857143,2,18.06005000000131,underdamped,0.8580499999999285,overdamped,0.0,0.004565725207050316,0.005073870703516105,-0.8504951136818953,0.0,6.464710000000137,25.347199999999223,1.2610602593822313,0.0,0.5733643269121241,18.067777777753065,3,1.0,4
